"state","surveyResult","restaurants__name","restaurants__image_url","restaurants__url","restaurants__rating","restaurants__location__address1","restaurants__location__address2","restaurants__location__address3","restaurants__location__city","restaurants__location__zip_code","restaurants__location__country","restaurants__location__state","restaurants__location__display_address__001","restaurants__location__display_address__002","restaurants__location__display_address__003"
"","","The Magnolia Pancake Haus","https://s3-media4.fl.yelpcdn.com/bphoto/xPKClViMuQkq15HhU_ZioA/o.jpg","https://www.yelp.com/biz/the-magnolia-pancake-haus-san-antonio?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","606 Embassy Oaks","Ste 100","","San Antonio","78216","US","TX","606 Embassy Oaks","Ste 100","San Antonio, TX 78216"
"California","San Diego","Phil's BBQ","https://s3-media2.fl.yelpcdn.com/bphoto/gnn_uVDE447hgSHzYkiPDg/o.jpg","https://www.yelp.com/biz/phils-bbq-san-diego-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","3750 Sports Arena Blvd","","","San Diego","92110","US","CA","3750 Sports Arena Blvd","San Diego, CA 92110",""
"","","Lucha Libre Gourmet Taco Shop","https://s3-media1.fl.yelpcdn.com/bphoto/rDSzvbZJ69kUFFVDqfHw5g/o.jpg","https://www.yelp.com/biz/lucha-libre-gourmet-taco-shop-san-diego?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","1810 W Washington St","","","San Diego","92103","US","CA","1810 W Washington St","San Diego, CA 92103",""
"","","Hash House A Go Go","https://s3-media2.fl.yelpcdn.com/bphoto/Cqlv_sl-tCp05VBNvJy3jw/o.jpg","https://www.yelp.com/biz/hash-house-a-go-go-san-diego?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","3628 5th Ave","","","San Diego","92103","US","CA","3628 5th Ave","San Diego, CA 92103",""
"","","Snooze","https://s3-media4.fl.yelpcdn.com/bphoto/9T16GhR9NcuBd_M1KXzzFA/o.jpg","https://www.yelp.com/biz/snooze-san-diego-18?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","3940 5th Ave","","","San Diego","92103","US","CA","3940 5th Ave","San Diego, CA 92103",""
"","","Hodad's","https://s3-media3.fl.yelpcdn.com/bphoto/yfT_k0a7YjUg1m8_mjLVdQ/o.jpg","https://www.yelp.com/biz/hodads-san-diego?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","5010 Newport Ave","","","San Diego","92107","US","CA","5010 Newport Ave","San Diego, CA 92107",""
"Texas","Dallas","Pecan Lodge","https://s3-media4.fl.yelpcdn.com/bphoto/3p88CNhPrZRWX7_6pM4KTg/o.jpg","https://www.yelp.com/biz/pecan-lodge-dallas-3?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","2702 Main St","","","Dallas","75226","US","TX","2702 Main St","Dallas, TX 75226",""
"","","Velvet Taco","https://s3-media3.fl.yelpcdn.com/bphoto/zvupNzPGNd2dOdJM59S2vw/o.jpg","https://www.yelp.com/biz/velvet-taco-dallas?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","3012 N Henderson Ave","","","Dallas","75206","US","TX","3012 N Henderson Ave","Dallas, TX 75206",""
"","","Kenny's Wood Fired Grill","https://s3-media4.fl.yelpcdn.com/bphoto/xyRh1mjgBepfSNab-541SQ/o.jpg","https://www.yelp.com/biz/kennys-wood-fired-grill-dallas-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","5000 Belt Line Rd","Ste 775","","Dallas","75254","US","TX","5000 Belt Line Rd","Ste 775","Dallas, TX 75254"
"","","Ellen's","https://s3-media1.fl.yelpcdn.com/bphoto/LFFqdsCc-onxBeh3j4Yptg/o.jpg","https://www.yelp.com/biz/ellens-dallas-4?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","1790 N Record St","null","","Dallas","75202","US","TX","1790 N Record St","Dallas, TX 75202",""
"","","Ida Claire","https://s3-media1.fl.yelpcdn.com/bphoto/m88EWxrYj1prCiB-2ABkMA/o.jpg","https://www.yelp.com/biz/ida-claire-addison?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","5001 Belt Line Rd","","","Addison","75254","US","TX","5001 Belt Line Rd","Addison, TX 75254",""
"California","San Jose","Gen Korean BBQ House","https://s3-media1.fl.yelpcdn.com/bphoto/uZQpUK36HZNgwUZV1lznbw/o.jpg","https://www.yelp.com/biz/gen-korean-bbq-house-san-jose?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","1628 Hostetter Rd","Ste F","","San Jose","95131","US","CA","1628 Hostetter Rd","Ste F","San Jose, CA 95131"
"","","Orenchi Ramen","https://s3-media3.fl.yelpcdn.com/bphoto/cQkvDGn3p6MBW3ZurZQTag/o.jpg","https://www.yelp.com/biz/orenchi-ramen-santa-clara-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","3540 Homestead Rd","","","Santa Clara","95051","US","CA","3540 Homestead Rd","Santa Clara, CA 95051",""
"","","Falafel's Drive-In","https://s3-media2.fl.yelpcdn.com/bphoto/QC0TnKfMtQ-9NnD5VFOLnw/o.jpg","https://www.yelp.com/biz/falafels-drive-in-san-jose?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","2301 Stevens Creek Blvd","","","San Jose","95128","US","CA","2301 Stevens Creek Blvd","San Jose, CA 95128",""
"","","The Boiling Crab","https://s3-media2.fl.yelpcdn.com/bphoto/ypMzd7CUAYxLZXCISYsksA/o.jpg","https://www.yelp.com/biz/the-boiling-crab-san-jose?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","1631 E Capitol Expy","Ste 101","","San Jose","95121","US","CA","1631 E Capitol Expy","Ste 101","San Jose, CA 95121"
"","","DishDash","https://s3-media2.fl.yelpcdn.com/bphoto/NfeFZQXrvH5r051M3Lr3uA/o.jpg","https://www.yelp.com/biz/dishdash-sunnyvale?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","190 S Murphy Ave","","","Sunnyvale","94086","US","CA","190 S Murphy Ave","Sunnyvale, CA 94086",""
