"state","surveyResult","landmarks__name","landmarks__image_url","landmarks__url","landmarks__rating","landmarks__location__address1","landmarks__location__address2","landmarks__location__address3","landmarks__location__city","landmarks__location__zip_code","landmarks__location__country","landmarks__location__state","landmarks__location__display_address__001","landmarks__location__display_address__002","landmarks__location__display_address__003"
"","","La Villita Historic Arts Village","https://s3-media2.fl.yelpcdn.com/bphoto/vuMg8r7lizN9iZkYiaaB9A/o.jpg","https://www.yelp.com/biz/la-villita-historic-arts-village-san-antonio?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","418 Villita St","","","San Antonio","78205","US","TX","418 Villita St","San Antonio, TX 78205",""
"","","Mission San Jose Catholic Church","https://s3-media1.fl.yelpcdn.com/bphoto/mup9zXtFahar_XMYHA-Yrg/o.jpg","https://www.yelp.com/biz/mission-san-jose-catholic-church-san-antonio-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","701 East Pyron Ave","null","null","San Antonio","78214","US","TX","701 East Pyron Ave","San Antonio, TX 78214",""
"","","San Antonio Missions National Historical Park","https://s3-media1.fl.yelpcdn.com/bphoto/mn4pKtNinltW2c3VaEYMDA/o.jpg","https://www.yelp.com/biz/san-antonio-missions-national-historical-park-san-antonio-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","6701 San Jose Dr","","","San Antonio","78214","US","TX","6701 San Jose Dr","San Antonio, TX 78214",""
"California","San Diego","Cabrillo National Monument","https://s3-media3.fl.yelpcdn.com/bphoto/TDkOInBg-npZPFAb8wFrBg/o.jpg","https://www.yelp.com/biz/cabrillo-national-monument-san-diego?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","1800 Cabrillo Memorial Dr","null","","San Diego","92106","US","CA","1800 Cabrillo Memorial Dr","San Diego, CA 92106",""
"","","Old Town San Diego State Historic Park","https://s3-media2.fl.yelpcdn.com/bphoto/KUj79bxwiuHRzfK86rz7xg/o.jpg","https://www.yelp.com/biz/old-town-san-diego-state-historic-park-san-diego?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","4002 Wallace St","","","San Diego","92110","US","CA","4002 Wallace St","San Diego, CA 92110",""
"","","Mount Soledad Veterans Memorial","https://s3-media3.fl.yelpcdn.com/bphoto/uRBhX2IJ500orzhfV2DjSA/o.jpg","https://www.yelp.com/biz/mount-soledad-veterans-memorial-la-jolla?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","5.0","6905 La Jolla Scenic Dr S","","","La Jolla","92037","US","CA","6905 La Jolla Scenic Dr S","La Jolla, CA 92037",""
"","","The Old Globe","https://s3-media1.fl.yelpcdn.com/bphoto/IAH1TwzS6y4biI3fn_vs9Q/o.jpg","https://www.yelp.com/biz/the-old-globe-san-diego-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","1363 Old Globe Way","","","San Diego","92101","US","CA","1363 Old Globe Way","San Diego, CA 92101",""
"","","Spruce Street Suspension Bridge","https://s3-media1.fl.yelpcdn.com/bphoto/UvGt72k8svqyVDu36AnqbA/o.jpg","https://www.yelp.com/biz/spruce-street-suspension-bridge-san-diego?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","Spruce St 1st Ave","null","","San Diego","92103","US","CA","Spruce St 1st Ave","San Diego, CA 92103",""
"Texas","Dallas","Reunion Tower","https://s3-media4.fl.yelpcdn.com/bphoto/icEkc5npDWfhme9NPxhuaQ/o.jpg","https://www.yelp.com/biz/reunion-tower-dallas?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","300 Reunion Blvd E","","","Dallas","75207","US","TX","300 Reunion Blvd E","Dallas, TX 75207",""
"","","Dealey Plaza","https://s3-media1.fl.yelpcdn.com/bphoto/ICzrMAfOTiO9UtVLW3IE-g/o.jpg","https://www.yelp.com/biz/dealey-plaza-dallas?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","500 Main St","","","Dallas","75202","US","TX","500 Main St","Dallas, TX 75202",""
