"state","city","hotels__name","hotels__image_url","hotels__url","hotels__rating","hotels__location__address1","hotels__location__address2","hotels__location__address3","hotels__location__city","hotels__location__zip_code","hotels__location__country","hotels__location__state","hotels__location__display_address__001","hotels__location__display_address__002","hotels__location__display_address__003"
"","","Hard Rock Hotel San Diego","https://s3-media2.fl.yelpcdn.com/bphoto/eqbbIjB6IpRsqqx_hzvdMA/o.jpg","https://www.yelp.com/biz/hard-rock-hotel-san-diego-san-diego-7?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.0","207 5th Ave","","","San Diego","92101","US","CA","207 5th Ave","San Diego, CA 92101",""
"","","Hilton San Diego Bayfront","https://s3-media3.fl.yelpcdn.com/bphoto/RX96UfdNR38ZjG3KOn2e5w/o.jpg","https://www.yelp.com/biz/hilton-san-diego-bayfront-san-diego-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","1 Park Blvd","","null","San Diego","92101","US","CA","1 Park Blvd","San Diego, CA 92101",""
"Texas","Dallas","Hilton Anatole","https://s3-media2.fl.yelpcdn.com/bphoto/6avWubbmgMCVay26yArriw/o.jpg","https://www.yelp.com/biz/hilton-anatole-dallas-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.0","2201 N Stemmons Fwy","","","Dallas","75207","US","TX","2201 N Stemmons Fwy","Dallas, TX 75207",""
"","","Omni Dallas Hotel","https://s3-media4.fl.yelpcdn.com/bphoto/4oXI08YZJeequ9hITgwsOA/o.jpg","https://www.yelp.com/biz/omni-dallas-hotel-dallas-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","555 S Lamar St","","","Dallas","75202","US","TX","555 S Lamar St","Dallas, TX 75202",""
"","","Sheraton Dallas Hotel","https://s3-media3.fl.yelpcdn.com/bphoto/q_lVSwYVSZemqoCfxuSYpg/o.jpg","https://www.yelp.com/biz/sheraton-dallas-hotel-dallas-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","2.5","400 N Olive St","","","Dallas","75201","US","TX","400 N Olive St","Dallas, TX 75201",""
"","","Hyatt Regency Dallas","https://s3-media3.fl.yelpcdn.com/bphoto/4PrhIsSrEBysf_QBmpjVWA/o.jpg","https://www.yelp.com/biz/hyatt-regency-dallas-dallas?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.0","300 Reunion Blvd","","","Dallas","75207","US","TX","300 Reunion Blvd","Dallas, TX 75207",""
"","","The Adolphus, Autograph Collection","https://s3-media2.fl.yelpcdn.com/bphoto/Og4HsIUFda6MTs8YZiIpIA/o.jpg","https://www.yelp.com/biz/the-adolphus-autograph-collection-dallas?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","1321 Commerce Street","","","Dallas","75202","US","TX","1321 Commerce Street","Dallas, TX 75202",""
"California","San Jose","Fairmont San Jose","https://s3-media3.fl.yelpcdn.com/bphoto/yboVxsgs08bzaXJ3yoFF-Q/o.jpg","https://www.yelp.com/biz/fairmont-san-jose-san-jose?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","170 South Market St","null","","San Jose","95113","US","CA","170 South Market St","San Jose, CA 95113",""
"","","Hotel Valencia Santana Row","https://s3-media4.fl.yelpcdn.com/bphoto/pdG2AnG1tBZB4WppBFov6Q/o.jpg","https://www.yelp.com/biz/hotel-valencia-santana-row-san-jose?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","355 Santana Row","","","San Jose","95128","US","CA","355 Santana Row","San Jose, CA 95128",""
"","","DoubleTree by Hilton Hotel San Jose","https://s3-media1.fl.yelpcdn.com/bphoto/CYbsiLoDopg_aeEzMXdfcw/o.jpg","https://www.yelp.com/biz/doubletree-by-hilton-hotel-san-jose-san-jose?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","2.5","2050 Gateway Pl","","","San Jose","95110","US","CA","2050 Gateway Pl","San Jose, CA 95110",""
"","","Pullman San Francisco Bay","https://s3-media2.fl.yelpcdn.com/bphoto/OhTwhmZm_2H8xD-mgtLOwQ/o.jpg","https://www.yelp.com/biz/pullman-san-francisco-bay-redwood-city?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","223 Twin Dolphin Dr","","","Redwood City","94065","US","CA","223 Twin Dolphin Dr","Redwood City, CA 94065",""
"","","Dolce Hayes Mansion","https://s3-media2.fl.yelpcdn.com/bphoto/oH_xfMciIp_rtDQK6uBWOw/o.jpg","https://www.yelp.com/biz/dolce-hayes-mansion-san-jose?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","200 Edenvale Ave","","","San Jose","95136","US","CA","200 Edenvale Ave","San Jose, CA 95136",""
"Texas","Austin","The Driskill","https://s3-media2.fl.yelpcdn.com/bphoto/8QQucNoAdqBD4O5weHqMBw/o.jpg","https://www.yelp.com/biz/the-driskill-austin-4?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","604 Brazos St","null","","Austin","78701","US","TX","604 Brazos St","Austin, TX 78701",""
"","","Omni Austin Hotel Downtown","https://s3-media3.fl.yelpcdn.com/bphoto/LR0wnrJ6RtqIU6_RU88AKA/o.jpg","https://www.yelp.com/biz/omni-austin-hotel-downtown-austin-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.0","700 San Jacinto Blvd","","","Austin","78701","US","TX","700 San Jacinto Blvd","Austin, TX 78701",""
"","","Hilton Austin","https://s3-media1.fl.yelpcdn.com/bphoto/wOPlGu2OAnPGhHrg4OJ_Kw/o.jpg","https://www.yelp.com/biz/hilton-austin-austin?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","500 E 4th St","null","","Austin","78701","US","TX","500 E 4th St","Austin, TX 78701",""
"","","JW Marriott Austin","https://s3-media2.fl.yelpcdn.com/bphoto/ACYmXYh05gpA_mtwtcD3zA/o.jpg","https://www.yelp.com/biz/jw-marriott-austin-austin?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","110 E. Second Street","","","Austin","78701","US","TX","110 E. Second Street","Austin, TX 78701",""
"","","Hotel San José","https://s3-media4.fl.yelpcdn.com/bphoto/qbWiw7oam-0TQKPv06lSAQ/o.jpg","https://www.yelp.com/biz/hotel-san-jos%C3%A9-austin-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","1316 S Congress Ave","","","Austin","78704","US","TX","1316 S Congress Ave","Austin, TX 78704",""
