state,city,tours__name,tours__image_url,tours__url,tours__rating,tours__location__address1,tours__location__address2,tours__location__address3,tours__location__city,tours__location__zip_code,tours__location__country,tours__location__state,tours__location__display_address__001,tours__location__display_address__002,tours__location__display_address__003,tours__location__display_address__004,tours__review_count
Texas,San Antonio,Natural Bridge Caverns,https://s3-media3.fl.yelpcdn.com/bphoto/zWlOj16JxYcVfCQlPgYWIQ/o.jpg,https://www.yelp.com/biz/natural-bridge-caverns-san-antonio?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4.5,26495 Natural Bridge Caverns Rd,,,San Antonio,78266,US,TX,26495 Natural Bridge Caverns Rd,"San Antonio, TX 78266",,,383
Texas,San Antonio,Ranger Creek Brewing & Distilling,https://s3-media1.fl.yelpcdn.com/bphoto/g64xV66ouEiWkqoAZaFLEg/o.jpg,https://www.yelp.com/biz/ranger-creek-brewing-and-distilling-san-antonio?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4.5,4834 Whirlwind Dr,,,San Antonio,78217,US,TX,4834 Whirlwind Dr,"San Antonio, TX 78217",,,217
Texas,San Antonio,San Antonio Museum of Art,https://s3-media1.fl.yelpcdn.com/bphoto/lTuoA0Nz_tZRPFp0J0eibg/o.jpg,https://www.yelp.com/biz/san-antonio-museum-of-art-san-antonio?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4.5,200 W Jones Ave,,,San Antonio,78215,US,TX,200 W Jones Ave,"San Antonio, TX 78215",,,154
Texas,San Antonio,Bad Wolf Ghost Tours,https://s3-media4.fl.yelpcdn.com/bphoto/9RDkFixYkr7-fI0KZZ8GFQ/o.jpg,https://www.yelp.com/biz/bad-wolf-ghost-tours-san-antonio?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4.5,300 Alamo Plz,null,null,San Antonio,78205,US,TX,300 Alamo Plz,"San Antonio, TX 78205",,,95
Texas,San Antonio,Sisters Grimm Candlelight Ghost Tours,https://s3-media1.fl.yelpcdn.com/bphoto/I45tW92tcNt7YdzR9htdgQ/o.jpg,https://www.yelp.com/biz/sisters-grimm-candlelight-ghost-tours-san-antonio-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4.5,300 Alamo Plz,null,,San Antonio,78205,US,TX,300 Alamo Plz,"San Antonio, TX 78205",,,87
California,San Diego,Bite San Diego,https://s3-media2.fl.yelpcdn.com/bphoto/3oYfRZBqiNDeWNl_TtZnoA/o.jpg,https://www.yelp.com/biz/bite-san-diego-san-diego?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4.5,600 W Broadway,Ste 700,,San Diego,92101,US,CA,600 W Broadway,Ste 700,"San Diego, CA 92101",,916
California,San Diego,Hornblower Cruises & Events,https://s3-media2.fl.yelpcdn.com/bphoto/NT8mVnS4BYh3OoEFskLQhw/o.jpg,https://www.yelp.com/biz/hornblower-cruises-and-events-san-diego-8?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,970 N Harbor Dr,null,,San Diego,92101,US,CA,970 N Harbor Dr,"San Diego, CA 92101",,,716
California,San Diego,Flagship Cruises & Events,https://s3-media1.fl.yelpcdn.com/bphoto/_5ZdH-6y1ip67Aeb1yIBQw/o.jpg,https://www.yelp.com/biz/flagship-cruises-and-events-san-diego?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,990 N Harbor Dr,,,San Diego,92101,US,CA,990 N Harbor Dr,"San Diego, CA 92101",,,679
California,San Diego,La Jolla Kayak,https://s3-media2.fl.yelpcdn.com/bphoto/CbZLIKUzEHlPa8qScaMWIg/o.jpg,https://www.yelp.com/biz/la-jolla-kayak-la-jolla?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,2199 Avenida De La Playa,,,La Jolla,92037,US,CA,2199 Avenida De La Playa,"La Jolla, CA 92037",,,561
California,San Diego,Oak Mountain Winery,https://s3-media4.fl.yelpcdn.com/bphoto/rBZCdUzq5Qc-auioEz1xRQ/o.jpg,https://www.yelp.com/biz/oak-mountain-winery-temecula?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,36522 Via Verde,,,Temecula,92592,US,CA,36522 Via Verde,"Temecula, CA 92592",,,531
